November 2008 Mumbai attacks	War_Conflict
2003 invasion of Iraq	War_Conflict
Death of Nelson Mandela	Politics
Togo national football team attack	War_Conflict
Conjoined twins	Health_Medical_Pharma
Cyclone Oswald	Disaster_Accident
Air France Flight 447	Disaster_Accident
2009 Boko Haram uprising	War_Conflict
2004 U.S. Presidential election	Politics
Treaty of Lisbon	Politics
2012–13 Egyptian protests	War_Conflict
Space exploration	Technology_Internet
Inauguration of Benigno Aquino III	Politics
Politics of Japan	Politics
2007 Atlantic hurricane season	Disaster_Accident
Zimbabwean presidential election, 2008	Politics
2009 Pishin bombing	War_Conflict
October 2007 California wildfires	Disaster_Accident
Manila Peninsula siege	War_Conflict
2008–10 Thai political crisis	War_Conflict
Economy of Zimbabwe	Business_Finance
2012–13 Football League Two	Sports
One-Two-GO Airlines Flight 269	Disaster_Accident
2013 VIA Rail Canada terrorism plot	War_Conflict
Joe Biden	Politics
2012 Syrian–Turkish border clashes	War_Conflict
Uzbekistan	Other
2012 NCAA Division I Baseball Tournament#College World Series	Sports
Andijan massacre	War_Conflict
2006 Georgian–Russian espionage controversy	War_Conflict
Durban Review Conference	War_Conflict
May 21–26, 2011 tornado outbreak sequence	Disaster_Accident
2006 Fijian coup d'état	Politics
Colombian legislative election, 2010	Politics
Georgian-Ossetian conflict	War_Conflict
Northern Mariana Islands gubernatorial election, 2009	Politics
January 2008 stock market downturn	Business_Finance
Darfur conflict	War_Conflict
2011–14 terrorist attacks in Kenya	War_Conflict
ROKS Cheonan sinking	Disaster_Accident
Late 2000s recession in the Americas	Business_Finance
Eurovision Song Contest 2010	Entertaintment_Culture
2010 Nuclear Security Summit	Internaltion_Relation
India–United States relations	Internaltion_Relation
Hurricane Isaac (2012)	Disaster_Accident
April 2013 ricin letters	Law_Crime
2010 Yushu earthquake	Disaster_Accident
United States elections, 2009	Politics
Cross-Strait relations	War_Conflict
2010 Israel–Lebanon border clash	War_Conflict
German federal election, 2005	Politics
Yasser Arafat	Politics
2007 California fires	Disaster_Accident
Shanghai International Film Festival	Entertaintment_Culture
Trial	Law_Crime
Screen Actors Guild Award	Entertaintment_Culture
FIFA World Cup	Sports
2008 Atlantic hurricane season	Disaster_Accident
Ethiopian general election, 2010	Politics
2010 G-20 Toronto summit	Internaltion_Relation
Earth Hour	Other
Gabonese presidential election, 2009	Politics
New York City Marathon	Sports
American occupation of Iraq	War_Conflict
2011–12 Iranian protests	Politics
Esperanza Fire	Disaster_Accident
Automotive industry crisis of 2008–10	Business_Finance
Hurricane Gustav	Disaster_Accident
APEC Australia 2007	Internaltion_Relation
Palestinian civil skirmishes (December 2006)	War_Conflict
Hurricane Manuel	Disaster_Accident
Czech legislative election, 2010	Politics
Ethiopian involvement in the Somali Civil War	War_Conflict
European Parliament election, 2004	Politics
Swedish general election, 2006	Politics
U.S. presidential election, 2004	Politics
Virginia Tech shooting	Law_Crime
Dove World Outreach Center Quran-burning controversy	Religion
U.S. presidential election, 2008	Politics
2006 Thai coup d'état	War_Conflict
September 2007 Sumatra earthquakes	Disaster_Accident
Islamist unrest in Egypt 2013–14	War_Conflict
Hurricane	Disaster_Accident
Automotive industry crisis of 2008-2009	Business_Finance
Abu Ghraib torture and prisoner abuse	War_Conflict
2011 Christchurch earthquake	Disaster_Accident
Bon Secours Mother and Baby Home#Burial ground	Law_Crime
Abu Ghraib prisoner abuse	Law_Crime
2006 transatlantic aircraft plot	Technology_Internet
SCO v. IBM	Business_Finance
2006 Lebanon War	War_Conflict
Ethnic violence in South Sudan (2011–present)	War_Conflict
Zolitūde shopping centre roof collapse	War_Conflict
Turkey-PKK conflict	War_Conflict
Supreme Court of the United States	Law_Crime
NFL playoffs, 2007-08	Sports
United States elections, 2010	Politics
2007 Greek fires	Disaster_Accident
June 2013 Egyptian protests	War_Conflict
U.S. Democratic Party presidential nomination, 2004	Politics
2012–13 Cypriot financial crisis	Business_Finance
Cyclone Nargis	Disaster_Accident
Movement to impeach Pervez Musharraf	Politics
War in Chad (2005–present)	War_Conflict
Manila Peninsula Mutiny	Politics
June 2008 Midwest floods	Disaster_Accident
2006 protests in Hungary	War_Conflict
International recognition of Kosovo	War_Conflict
World Press Freedom Day	Internaltion_Relation
Estonian parliamentary election, 2007	Politics
Germany–Iran relations	Internaltion_Relation
Prachanda	Politics
President of the European Council	Politics
2007 Georgian demonstrations	Politics
2008 Pacific typhoon season	Disaster_Accident
Muammar al-Gaddafi	War_Conflict
2009 Great Britain and Ireland floods	Disaster_Accident
Blockade of the Gaza Strip	War_Conflict
Mark Foley congressional page incident	War_Conflict
Democratic Party (United States)	Politics
Assassination of Mahmoud al-Mabhouh	Law_Crime
2007 Iranian seizure of Royal Navy personnel	War_Conflict
Heglig Crisis	War_Conflict
Beslan school hostage crisis	War_Conflict
Terrorism	War_Conflict
Jordanian parliamentary election, 2010	Politics
2008 Mumbai attacks	War_Conflict
53rd Annual Grammy Awards	Entertaintment_Culture
Jordanian general election 2010	Politics
United States elections, 2008	Politics
2010 eruptions of Mount Merapi	Disaster_Accident
Timeline of the 2014 pro-Russian conflict in Ukraine	War_Conflict
2011–12 Spanish protests	Politics
Togo	Other
Swine influenza	Health_Medical_Pharma
2009 Palma Nova bombing	War_Conflict
Economic crisis of 2008	Business_Finance
Belgian general election, 2010	Politics
United States elections 2006	Politics
U.S. presidential election debates, 2004	Politics
Mid-May 2008 tornado outbreak sequence	Disaster_Accident
United States elections 2005	Politics
United States presidential election debates 2004	Politics
201011 NFL playoffs	Sports
Mark Foley scandal	Law_Crime
SCO v. IBM Linux lawsuit	Law_Crime
Western U.S. Freeze of 2007	Disaster_Accident
War in Somalia (2006-present)	War_Conflict
2008 Serbian protests	War_Conflict
Hurricane Felix	Disaster_Accident
Mexico – United States relations	Internaltion_Relation
United States economy	Business_Finance
Reactions to Innocence of Muslims	Religion
Nigerian Oil Crisis	War_Conflict
2006 North Korean nuclear test	War_Conflict
Cadbury	Business_Finance
Global financial crisis of 2008	Business_Finance
Waziristan conflict (July 2007-present)	War_Conflict
United States presidential election 2004	Politics
Flight OG 269	Disaster_Accident
Beit Hanoun November 2006 incident	War_Conflict
Philippine general election, 2010	Politics
Global spread of H5N1	Disaster_Accident
Aung San Suu Kyi	Politics
Hurricane Dean (2007)	Disaster_Accident
2007 Israel-Gaza conflict	War_Conflict
Pakistani general election, 2008	Politics
Togo national football team bus attack	Law_Crime
September 11, 2001 attacks	War_Conflict
MV Arctic Sea	Disaster_Accident
Cause of Yasser Arafats death	War_Conflict
Great Recession in the Americas	Business_Finance
Muammar Gaddafi	Politics
Bloody Sunday Inquiry	Law_Crime
Results of the 2008 Democratic Party presidential primaries	Politics
2008 Thai political crisis	Politics
2010 Kyrgyzstani riots	War_Conflict
Death and state funeral of Kim Jongil	War_Conflict
R v Coulson Brooks and others	Law_Crime
Baghdad Central Prison	Law_Crime
Chad	Other
Hajj	Religion
Colombian parliamentary election 2010	Politics
Abkhazian Revolution	War_Conflict
2008 unrest in Tibet	War_Conflict
United States Army	War_Conflict
Grammy Award	Entertaintment_Culture
61st Primetime Emmy Awards	Entertaintment_Culture
December solstice	Other
Hungarian parliamentary election, 2010	Politics
Madagascar	Other
2007 Western United States freeze	Disaster_Accident
Abu Ghraib prison	War_Conflict
Xinjiang	Other
Hurricane Lane (2006)	Disaster_Accident
Presidential transition of Barack Obama	Politics
ColombiaVenezuela relations	Internaltion_Relation
Turkey–PKK conflict	War_Conflict
2011–13 Russian protests	War_Conflict
Sectarian violence in Iraq	War_Conflict
Mars Exploration Rover	Technology_Internet
Xynthia (storm)	Disaster_Accident
2010 Thai military crackdown	War_Conflict
2009 Palmanova bombing	War_Conflict
2008 Beijing Olympics	Sports
2010 Explosion on Deepwater Horizon drilling rig	Disaster_Accident
Iraq sectarian violence	War_Conflict
Earthquake	Disaster_Accident
Al-Askari Mosque bombing (2006)	War_Conflict
2010 Chile earthquake	Disaster_Accident
Quds Day	Politics
Ethiopian intervention in Somalia	War_Conflict
Belarusian presidential election, 2006	Politics
Cadbury plc#Kraft buyout	Business_Finance
Greek legislative election, 2009	Politics
Siege of Hama 2011	War_Conflict
APEC	Internaltion_Relation
Iraq War troop surge of 2007	War_Conflict
Iraqi resistance#Rebellion in Najaf .28August 2004.29	War_Conflict
Interrebel conflict during the Syrian Civil War	War_Conflict
2007–08 Kenyan crisis	War_Conflict
Football (soccer)	Sports
2010 Kyrgyzstan riots	War_Conflict
Kuwaiti protests 2011–2012	War_Conflict
Quneitra Governorate clashes 20122014	War_Conflict
Deepwater Horizon explosion	Disaster_Accident
Iran's nuclear program	War_Conflict
Death of Yasser Arafat	Politics
Iran and weapons of mass destruction	War_Conflict
Saint Patrick's Day	Religion
2011 attack on the British Embassy in Iran	War_Conflict
Federal government of the United States	Politics
November 2007 strikes in France	Politics
2004 U.S. presidential election controversy	Politics
Civil uprising phase of the Syrian Civil War	War_Conflict
North Korea and weapons of mass destruction	Politics
2008 Russian financial crisis	Business_Finance
News UK	Other
Iraq insurgency	War_Conflict
World Heritage Site	Other
Child sexual abuse	Law_Crime
Protests in Sudan 2011present	War_Conflict
Palestinian presidential election, 2005	Politics
2010 North Indian Ocean cyclone season	Disaster_Accident
Gaza flotilla clash	War_Conflict
2008 Summer Olympics	Sports
2009 Nigerian sectarian violence	War_Conflict
Iraqi parliamentary election, 2010	Politics
2007 Tour de France	Sports
Mergers and Acquisitions	Business_Finance
United States Senate election in Minnesota, 2008	Politics
Jebel alZayt oil spill	War_Conflict
2010 Holywood car bombing	War_Conflict
2009 Ashura Iran anti-government protest	War_Conflict
War in Darfur	War_Conflict
Red Sea oil spill	Disaster_Accident
2014 Americanled intervention in Iraq	War_Conflict
Hurricane Felix (2007)	Disaster_Accident
International reaction to the 2008 Kosovo declaration of independence	Internaltion_Relation
United States presidential inauguration	Politics
Spain	Other
2008 South Ossetia War	War_Conflict
Catholic Church sexual abuse cases	Law_Crime
2010 Kyrgyzstani uprising	War_Conflict
Nepal	Other
New Year's Eve	Other
Cargo planes bomb plot	War_Conflict
Abkhaz–Georgian conflict	War_Conflict
2007 Pacific typhoon season	Disaster_Accident
Kosovo	War_Conflict
2010–11 Ivorian crisis	Politics
Bosnian general election 2014	Politics
Southeast European Cooperation Process	Internaltion_Relation
March 23 2012 tornado outbreak	Disaster_Accident
2010–12 Greek protests	War_Conflict
Avian influenza	Disaster_Accident
ATF gunwalking scandal	Law_Crime
Christopher Coke	Law_Crime
Conflict in Iraq	War_Conflict
Sexual abuse in Cloyne diocese	Law_Crime
Same-sex marriage	Politics
Post-invasion Iraq, 2003–present	War_Conflict
Trial of Saddam Hussein	Law_Crime
United Kingdom	Other
2010 eruptions of Eyjafjallajökull	Disaster_Accident
Pope Benedict XVI Islam controversy	Religion
Cyclone Xynthia	Disaster_Accident
Georgia-Russia spying row	War_Conflict
Russia protests of 2007	War_Conflict
Tiger (zodiac)	Other
Philippines	Other
2011 News Corporation scandals	Business_Finance
Japanese general election, 2009	Politics
Love Parade disaster	Disaster_Accident
Colombian presidential election, 2010	Politics
Death of Jacintha Saldanha	Law_Crime
2007 Pakistani state of emergency	War_Conflict
The New Way Forward	War_Conflict
Early 2009 southeastern Australia heat wave	Disaster_Accident
War in Iraq	War_Conflict
2010 Haiti earthquake	Disaster_Accident
2004 United States election voting controversies	Politics
Israeli-Palestinian conflicts	War_Conflict
2008 East Timorese assassination attempts	Law_Crime
2010–13 NCAA conference realignment	Sports
Central African Republic conflict (2012–present)#Coup d.27.C3.A9tat	War_Conflict
201012 Algerian protests	War_Conflict
2010 Winter Olympics	Sports
Deepwater Horizon drilling rig explosion	Disaster_Accident
Global financial crisis of 2008-2009	Business_Finance
Expo 2010	Other
2009–10 Iranian election protests	War_Conflict
Catholic Church	Religion
2008 Toronto explosions	Disaster_Accident
Indian general election, 2004	Politics
Trial (law)	Law_Crime
Democratic Party (United States) presidential primaries, 2008	Politics
25 August 2007 Hyderabad bombings	War_Conflict
Great Recession#January 2008 stock market volatility	Business_Finance
2012 G20 Los Cabos summit	Internaltion_Relation
2013–14 protests in Turkey	War_Conflict
Waziristan War	War_Conflict
Phoenix (spacecraft)	Technology_Internet
2004 Indian Ocean earthquake and tsunami	Disaster_Accident
Sudanese general election, 2010	Politics
Scottish Parliament general election 2011	Politics
Puerto Rican general election 2004	Politics
Guantánamo Bay Qur'an desecration allegations	Religion
Iraqi resistance	War_Conflict
Zimbabwean general election 2008	Politics
2014 Russian military intervention in Ukraine	War_Conflict
MV Princess Ashika	Disaster_Accident
2012 Malian coup dtat	War_Conflict
Greek governmentdebt crisis	Politics
2011–12 Moroccan protests	Politics
2010 Jos riots	War_Conflict
2009 Nigeria religious violence	War_Conflict
Singapore 2006	Other
Ukrainian parliamentary election, 2007	Politics
Nauruan parliamentary election, June 2010	Politics
2010 Mumbai oil spill	Disaster_Accident
Lebanese general election, 2005	Politics
2012 Delhi gang rape	Law_Crime
War in Somalia (2006-present)	War_Conflict
Operation Linda Nchi	War_Conflict
Catholic sex abuse cases	Law_Crime
Hurricane Ike (2008)	Disaster_Accident
2004 Indian Ocean earthquake	Disaster_Accident
Saville Inquiry	Law_Crime
North KoreaUnited States relations	Internaltion_Relation
2008 protests in Serbia	War_Conflict
Summer 2008 California wildfires	Disaster_Accident
2010 Ugandan landslide	Disaster_Accident
2009 Sierra Leone ferry accident	Disaster_Accident
ROC presidential election, 2004	Politics
2009 Honduran political crisis	Politics
Tulip Revolution	War_Conflict
Air India Express Flight 812	Disaster_Accident
Politics of the United States	Politics
2012 India blackouts	Disaster_Accident
